,0
0,Connecticut
1,Delaware
2,Idaho
3,Indiana
4,Iowa
5,Louisiana
6,Maryland
7,Massachusetts
8,Michigan
9,Minnesota
10,Missouri
11,Oklahoma
12,Pennsylvania
13,Rhode Island
14,Vermont
15,Wisconsin
